,0,1,2,3,4,5,6,7,8,9,10,11
0,amazon,amazon,,,,,,,,,,
1,amazon,webcam,0.49094771589191233,0.013496438152435283,0.47372572987528344,0.03096193820890932,0.5644453892668179,0.014510849040887473,0.581933874244142,0.01037447362027938,0.5451899683484506,0.01675145993267522
2,amazon,dslr,0.5731650904605263,0.010471388703418346,0.5606993558114035,0.033068776750594005,0.5989429139254386,0.030419759634967417,0.6082014117324561,0.025058326445711154,0.6006527549342106,0.013535528433075253
3,webcam,amazon,0.5588719459403355,0.006158605554521586,0.5495142338539467,0.008495642531233458,0.5558906909524548,0.008300155155398458,0.5265386533985271,0.006343647951346814,0.5680577185400403,0.007172575142289206
4,webcam,webcam,,,,,,,,,,
5,webcam,dslr,0.9845257675438596,0.004605960554126147,0.9857952987938596,0.0036734180155269013,0.986341831140351,0.00464933826738993,0.9824664199561404,0.0021286220238492235,0.9856736567982457,0.0043699012186017875
6,dslr,amazon,0.5367970714266381,0.0058515865307130375,0.5398771756088413,0.010851769152530008,0.5687401107188768,0.013269684973785646,0.5330697742067335,0.009582550370975574,0.5656557543609723,0.014602568165599501
7,dslr,webcam,0.9505863803854874,0.0033719123168014327,0.9477637825963721,0.0044352480783404905,0.9512092545351474,0.0031425046049299876,0.9499191586356766,0.007765703029446473,0.9521517739040061,0.005427238382816427
8,dslr,dslr,,,,,,,,,,
mean,,,0.6824823286081264,0.007325981968669304,0.6762292627566179,0.015247798789522364,0.704261698423181,0.01238204861289315,0.6970215486956127,0.010208887240268102,0.7028969378143209,0.010309878545842898
