,0,1,2,3
0,jan,amazon,webcam,0.5723125708616781
1,jan,amazon,webcam,0.5457131637377173
2,jan,amazon,webcam,0.5799319727891156
3,jan,amazon,webcam,0.5526753236016629
4,jan,amazon,webcam,0.5715939153439153
5,jan,amazon,dslr,0.6399396929824561
6,jan,amazon,dslr,0.6092636376096492
7,jan,amazon,dslr,0.5991724917763157
8,jan,amazon,dslr,0.5902806332236842
9,jan,amazon,dslr,0.5560581140350878
10,jan,webcam,amazon,0.5694988492616345
11,jan,webcam,amazon,0.5479618942758883
12,jan,webcam,amazon,0.5561568204349139
13,jan,webcam,amazon,0.5507069212083046
14,jan,webcam,amazon,0.5551289695815328
15,jan,webcam,dslr,0.9903628700657895
16,jan,webcam,dslr,0.9876559073464912
17,jan,webcam,dslr,0.989771792763158
18,jan,webcam,dslr,0.9849917763157895
19,jan,webcam,dslr,0.9789268092105263
20,jan,dslr,amazon,0.5654189497051277
21,jan,dslr,amazon,0.5726551731288003
22,jan,dslr,amazon,0.5472847068906088
23,jan,dslr,amazon,0.5793205912991592
24,jan,dslr,amazon,0.5790211325706879
25,jan,dslr,webcam,0.9491301729024945
26,jan,dslr,webcam,0.9511018990929705
27,jan,dslr,webcam,0.9482957766439909
28,jan,dslr,webcam,0.9563740079365078
29,jan,dslr,webcam,0.9511444160997733
