,0,1,2,3
0,dan,amazon,webcam,0.5929705215419502
1,dan,amazon,webcam,0.5440349229969765
2,dan,amazon,webcam,0.5825190145502646
3,dan,amazon,webcam,0.6036168981481481
4,dan,amazon,webcam,0.5644401336923658
5,dan,amazon,dslr,0.5824081688596492
6,dan,amazon,dslr,0.5701154742324561
7,dan,amazon,dslr,0.5988127055921052
8,dan,amazon,dslr,0.6303453947368421
9,dan,amazon,dslr,0.584703947368421
10,dan,webcam,amazon,0.5491342105522486
11,dan,webcam,amazon,0.5625329018836591
12,dan,webcam,amazon,0.5423318820988969
13,dan,webcam,amazon,0.5664198808407056
14,dan,webcam,amazon,0.5633490314163692
15,dan,webcam,dslr,0.9826103344298246
16,dan,webcam,dslr,0.9876987390350878
17,dan,webcam,dslr,0.9877758360745614
18,dan,webcam,dslr,0.984400699013158
19,dan,webcam,dslr,0.9935752467105263
20,dan,dslr,amazon,0.577090434155917
21,dan,dslr,amazon,0.5773434921668641
22,dan,dslr,amazon,0.5542200826006172
23,dan,dslr,amazon,0.5655397768512606
24,dan,dslr,amazon,0.5624902936134188
25,dan,dslr,webcam,0.9622413548752835
26,dan,dslr,webcam,0.9526165674603174
27,dan,dslr,webcam,0.9514260912698412
28,dan,dslr,webcam,0.957296095521542
29,dan,dslr,webcam,0.9572588931405895
