,0,1,2,3
0,sl,amazon,webcam,0.5656187996031746
1,sl,amazon,webcam,0.5424933862433863
2,sl,amazon,webcam,0.5297244071239606
3,sl,amazon,webcam,0.5289555579176115
4,sl,amazon,webcam,0.5591576908541194
5,coral,amazon,webcam,0.5740147274187452
6,coral,amazon,webcam,0.5919834774187454
7,coral,amazon,webcam,0.5681606670445957
8,coral,amazon,webcam,0.5855950018896448
9,coral,amazon,webcam,0.5899154974489795
10,sl,amazon,dslr,0.6077388294956141
11,sl,amazon,dslr,0.5846354166666666
12,sl,amazon,dslr,0.6033014665570176
13,sl,amazon,dslr,0.6179242050438596
14,sl,amazon,dslr,0.5896638569078947
15,coral,amazon,dslr,0.6278354577850878
16,coral,amazon,dslr,0.5806520696271931
17,coral,amazon,dslr,0.5864086485745614
18,coral,amazon,dslr,0.6380722313596492
19,coral,amazon,dslr,0.6080386513157895
20,sl,webcam,amazon,0.5701197389008225
21,sl,webcam,amazon,0.5680915604840034
22,sl,webcam,amazon,0.5560060689011034
23,sl,webcam,amazon,0.571201333915794
24,sl,webcam,amazon,0.574869890498478
25,coral,webcam,amazon,0.5236280298131859
26,coral,webcam,amazon,0.5340407546221493
27,coral,webcam,amazon,0.5326929147527129
28,coral,webcam,amazon,0.5217152558464163
29,coral,webcam,amazon,0.5206163119581713
30,sl,webcam,dslr,0.9882041529605263
31,sl,webcam,dslr,0.9918876781798246
32,sl,webcam,dslr,0.9842379385964912
33,sl,webcam,dslr,0.9831585800438596
34,sl,webcam,dslr,0.9808799342105263
35,coral,webcam,dslr,0.9799033717105263
36,coral,webcam,dslr,0.9843578673245614
37,coral,webcam,dslr,0.9818564967105263
38,coral,webcam,dslr,0.9812654194078947
39,coral,webcam,dslr,0.9849489446271931
40,sl,dslr,amazon,0.5831701826733369
41,sl,dslr,amazon,0.5516745882967148
42,sl,dslr,amazon,0.5751625092967838
43,sl,dslr,amazon,0.5497732575577896
44,sl,dslr,amazon,0.5684982339802364
45,coral,dslr,amazon,0.5195451826332782
46,coral,dslr,amazon,0.5317084883543447
47,coral,dslr,amazon,0.5338094922501163
48,coral,dslr,amazon,0.5337424900556605
49,coral,dslr,amazon,0.546543217740268
50,sl,dslr,webcam,0.9527228599773243
51,sl,dslr,webcam,0.9549656320861677
52,sl,dslr,webcam,0.9551117842970521
53,sl,dslr,webcam,0.9426277281746032
54,sl,dslr,webcam,0.9553308649848828
55,coral,dslr,webcam,0.9499034509637189
56,coral,dslr,webcam,0.9455230182350718
57,coral,dslr,webcam,0.9512002196712019
58,coral,dslr,webcam,0.9411077451814058
59,coral,dslr,webcam,0.961861359126984
