,0,1,2,3
0,dan,amazon,webcam,0.6386426445578232
1,dan,amazon,webcam,0.619385688303099
2,dan,amazon,webcam,0.6274521093159485
3,dan,amazon,webcam,0.6423011739417989
4,dan,amazon,webcam,0.6508863614890401
5,no_da,amazon,webcam,0.47992813444822374
6,no_da,amazon,webcam,0.5075683224678761
7,no_da,amazon,webcam,0.46387737386621314
8,no_da,amazon,webcam,0.5024400037792895
9,no_da,amazon,webcam,0.48005155187074827
10,dan,amazon,dslr,0.6622378700657895
11,dan,amazon,dslr,0.6737767269736842
12,dan,amazon,dslr,0.6279382538377193
13,dan,amazon,dslr,0.6282038103070176
14,dan,amazon,dslr,0.6969829358552632
15,no_da,amazon,dslr,0.5187345805921052
16,no_da,amazon,dslr,0.5330746299342105
17,no_da,amazon,dslr,0.5549787554824561
18,no_da,amazon,dslr,0.5361413788377193
19,no_da,amazon,dslr,0.5372036047149124
20,dan,webcam,amazon,0.5326875309603178
21,dan,webcam,amazon,0.5694118214580693
22,dan,webcam,amazon,0.588069684717167
23,dan,webcam,amazon,0.559611184669769
24,dan,webcam,amazon,0.5684645522211017
25,no_da,webcam,amazon,0.5495148331846075
26,no_da,webcam,amazon,0.5628539070599379
27,no_da,webcam,amazon,0.5523623597674784
28,no_da,webcam,amazon,0.5381578059124852
29,no_da,webcam,amazon,0.5590912500922547
30,dan,webcam,dslr,0.988795230263158
31,dan,webcam,dslr,0.9845634594298246
32,dan,webcam,dslr,0.9820192571271931
33,dan,webcam,dslr,0.9893434758771931
34,dan,webcam,dslr,0.9835440652412282
35,no_da,webcam,dslr,0.984606291118421
36,no_da,webcam,dslr,0.9800661321271931
37,no_da,webcam,dslr,0.9829958196271931
38,no_da,webcam,dslr,0.9795607182017544
39,no_da,webcam,dslr,0.9763826069078947
40,dan,dslr,amazon,0.5490426305099825
41,dan,dslr,amazon,0.5440599066693484
42,dan,dslr,amazon,0.5590624353232816
43,dan,dslr,amazon,0.5360175457214394
44,dan,dslr,amazon,0.5597593699873525
