A $to$ W &48.0 (2.4)& 49.3 (0.8) & 62.8 (0.8) & 63.0 (2.5) &59.9 (1.0) &59.6 (2.8) \\
A $to$ D&55.6 (2.2)& 59.0 (2.0) & 63.6 (0.8) & 63.1 (1.4) &59.6 (1.0) &62.3 (0.8) \\
W $to$ A&54.9 (0.5)& 55.2 (1.6) & 55.6 (0.8) & 55.8 (1.3) &53.4 (1.3) &56.2 (0.5) \\
W $to$ D&98.4 (0.3)& 98.5 (0.5) & 98.8 (0.2) & 98.5 (0.4) &99.0 (0.3) &98.4 (0.2) \\
D $to$ A&53.4 (0.7)& 53.7 (0.8) & 55.2 (1.3) & 56.1 (0.5) &52.3 (1.1) &56.5 (1.6) \\
D $to$ A&94.3 (0.7)& 94.7 (0.7) & 95.8 (0.2) & 95.7 (0.5) &94.8 (0.3) &95.0 (0.7) \\
Mean  &67.4 (1.1)& 68.4 (1.1) & 72.0 (0.7) & 72.0 (1.1) &69.8 (0.8) &71.3 (1.1) \\
