,0,1,2,3
0,sl,amazon,webcam,0.5480226639266818
1,sl,amazon,webcam,0.5537084278155707
2,sl,amazon,webcam,0.6370272935563114
3,sl,amazon,webcam,0.5999090608465608
4,sl,amazon,webcam,0.5918172477324263
5,coral,amazon,webcam,0.6236362079554043
6,coral,amazon,webcam,0.5917015069916857
7,coral,amazon,webcam,0.6106720639644747
8,coral,amazon,webcam,0.6163525132275132
9,coral,amazon,webcam,0.5943853930461074
10,sl,amazon,dslr,0.6204769736842105
11,sl,amazon,dslr,0.6508103755482456
12,sl,amazon,dslr,0.6393057839912282
13,sl,amazon,dslr,0.6257624040570176
14,sl,amazon,dslr,0.6378923382675439
15,coral,amazon,dslr,0.6051346628289473
16,coral,amazon,dslr,0.613195586622807
17,coral,amazon,dslr,0.5871881853070176
18,coral,amazon,dslr,0.5931075246710527
19,coral,amazon,dslr,0.6003717790570176
20,sl,webcam,amazon,0.573491120530266
21,sl,webcam,amazon,0.5613479039002944
22,sl,webcam,amazon,0.5427382152311688
23,sl,webcam,amazon,0.562695172773109
24,sl,webcam,amazon,0.5605521408456392
25,coral,webcam,amazon,0.5169047936915522
26,coral,webcam,amazon,0.5223602383037346
27,coral,webcam,amazon,0.5337943780497859
28,coral,webcam,amazon,0.5405828728211922
29,coral,webcam,amazon,0.5325632395333212
30,sl,webcam,dslr,0.9784385279605263
31,sl,webcam,dslr,0.982447574013158
32,sl,webcam,dslr,0.983424136513158
33,sl,webcam,dslr,0.9983552631578947
34,sl,webcam,dslr,0.9902772066885964
35,coral,webcam,dslr,0.9783357319078947
36,coral,webcam,dslr,0.9854971902412282
37,coral,webcam,dslr,0.9882041529605263
38,coral,webcam,dslr,0.9897289610745614
39,coral,webcam,dslr,0.9866365131578947
40,sl,dslr,amazon,0.5734971007792098
41,sl,dslr,amazon,0.564830661953719
42,sl,dslr,amazon,0.6088088434277831
43,sl,dslr,amazon,0.5858787111473862
44,sl,dslr,amazon,0.5548129473728572
45,coral,dslr,amazon,0.5123611743308087
46,coral,dslr,amazon,0.5196988559872241
47,coral,dslr,amazon,0.5241401180544483
48,coral,dslr,amazon,0.5192087838936064
49,coral,dslr,amazon,0.5141609148402382
50,sl,dslr,webcam,0.9457394416099774
51,sl,dslr,webcam,0.9520691609977324
52,sl,dslr,webcam,0.9455959467120182
53,sl,dslr,webcam,0.9498449900793651
54,sl,dslr,webcam,0.9548501866024186
55,coral,dslr,webcam,0.9469777494331065
56,coral,dslr,webcam,0.9477217970521543
57,coral,dslr,webcam,0.9476007416855632
58,coral,dslr,webcam,0.9432256235827665
59,coral,dslr,webcam,0.9455560870181408
