,0,1,2,3,4,5,6,7,8,9,10,11
0,amazon,amazon,,,,,,,,,,
1,amazon,webcam,0.49293302390400606,0.014217983594407492,0.4764071357709751,0.022213167161843732,0.6427259897014361,0.01060773670445894,0.607349537037037,0.013876943906988272,0.5860969387755103,0.03645567080795766
2,amazon,dslr,0.5460834703947369,0.02228927872347976,0.5724695038377193,0.0292738717395788,0.6448841831140351,0.019477064512473004,0.5997995476973684,0.010149807813618097,0.6348495751096491,0.011968831452425848
3,webcam,amazon,0.5491838558272085,0.009228801818413478,0.5511257979904004,0.007377231279924822,0.5681151984111923,0.010956263715882092,0.5292411044799172,0.009485982735382956,0.5601649106560955,0.01105926342099584
4,webcam,webcam,,,,,,,,,,
5,webcam,dslr,0.982228275767544,0.005120949237109555,0.9855228892543859,0.00470367611819938,0.9851648163377194,0.003778174486638115,0.985680509868421,0.00440601983907987,0.9865885416666668,0.007836545488756022
6,dslr,amazon,0.5403385038705191,0.012426746885770121,0.5337601489873975,0.010205036870642193,0.5477082831168427,0.009295795743132981,0.5179139694212652,0.004704950673981005,0.577565652936191,0.020866615749481923
7,dslr,webcam,0.950848686696901,0.0023901881477008126,0.9501107213718821,0.004789399087924939,0.9542072940287227,0.005480516133304304,0.9462163997543461,0.0018803611327486264,0.9496199452003025,0.004020435308913165
8,dslr,dslr,,,,,,,,,,
mean,,,0.6769359694101525,0.010945658067813537,0.6782326995354601,0.013093730376352314,0.7238009607849913,0.009932591882648239,0.6977001780430592,0.007417344350299805,0.7158142607240691,0.015367893704755076
