,0,1,2,3
0,no_da,amazon,webcam,0.4710482804232804
1,no_da,amazon,webcam,0.4986990976946334
2,no_da,amazon,webcam,0.4991762329931973
3,no_da,amazon,webcam,0.5080853174603175
4,no_da,amazon,webcam,0.4876561909486017
5,no_da,amazon,dslr,0.5179379111842105
6,no_da,amazon,dslr,0.5539936266447368
7,no_da,amazon,dslr,0.5397649396929824
8,no_da,amazon,dslr,0.5785961485745614
9,no_da,amazon,dslr,0.5401247258771931
10,no_da,webcam,amazon,0.5507346265549845
11,no_da,webcam,amazon,0.5603212717052914
12,no_da,webcam,amazon,0.5452172961595855
13,no_da,webcam,amazon,0.5358656647870319
14,no_da,webcam,amazon,0.5537804199291495
15,no_da,webcam,dslr,0.9812054550438596
16,no_da,webcam,dslr,0.986842105263158
17,no_da,webcam,dslr,0.9777103892543859
18,no_da,webcam,dslr,0.9882469846491229
19,no_da,webcam,dslr,0.9771364446271931
20,no_da,dslr,amazon,0.5336461989071011
21,no_da,dslr,amazon,0.548186148037851
22,no_da,dslr,amazon,0.5215840536141892
23,no_da,dslr,amazon,0.5506759034422598
24,no_da,dslr,amazon,0.547600215351194
25,no_da,dslr,webcam,0.9498358371126229
26,no_da,dslr,webcam,0.9541631235827666
27,no_da,dslr,webcam,0.9485057043650794
28,no_da,dslr,webcam,0.949233808106576
29,no_da,dslr,webcam,0.9525049603174602
